usrname,passwd,fullName,mob,email
test1,pass1,craftsvilla1,9999999999,test@crafts.com
test2,pass2,craftsvilla2,9999999999,test@crafts.com
test3,pass3,craftsvilla3,9999999999,test@crafts.com
test4,pass4,craftsvilla4,9999999999,test@crafts.com
test5,pass5,craftsvilla5,9999999999,test@crafts.com
test6,pass6,craftsvilla6,9999999999,test@crafts.com
test7,pass7,craftsvilla7,9999999999,test@crafts.com
test8,pass8,craftsvilla8,9999999999,test@crafts.com
test9,pass9,craftsvilla9,9999999999,test@crafts.com
test10,pass10,craftsvilla10,9999999999,test@crafts.com
test11,pass11,craftsvilla11,9999999999,test@crafts.com
test12,pass12,craftsvilla12,9999999999,test@crafts.com
test13,pass13,craftsvilla13,9999999999,test@crafts.com
test14,pass14,craftsvilla14,9999999999,test@crafts.com
test15,pass15,craftsvilla15,9999999999,test@crafts.com
test16,pass16,craftsvilla16,9999999999,test@crafts.com
test17,pass17,craftsvilla17,9999999999,test@crafts.com
test18,pass18,craftsvilla18,9999999999,test@crafts.com
test19,pass19,craftsvilla19,9999999999,test@crafts.com
test20,pass20,craftsvilla20,9999999999,test@crafts.com
test21,pass21,craftsvilla21,9999999999,test@crafts.com
test22,pass22,craftsvilla22,9999999999,test@crafts.com
test23,pass23,craftsvilla23,9999999999,test@crafts.com
test24,pass24,craftsvilla24,9999999999,test@crafts.com
test25,pass25,craftsvilla25,9999999999,test@crafts.com
test26,pass26,craftsvilla26,9999999999,test@crafts.com
test27,pass27,craftsvilla27,9999999999,test@crafts.com
test28,pass28,craftsvilla28,9999999999,test@crafts.com
test29,pass29,craftsvilla29,9999999999,test@crafts.com
test30,pass30,craftsvilla30,9999999999,test@crafts.com
test31,pass31,craftsvilla31,9999999999,test@crafts.com
test32,pass32,craftsvilla32,9999999999,test@crafts.com
test33,pass33,craftsvilla33,9999999999,test@crafts.com
test34,pass34,craftsvilla34,9999999999,test@crafts.com
test35,pass35,craftsvilla35,9999999999,test@crafts.com
test36,pass36,craftsvilla36,9999999999,test@crafts.com
test37,pass37,craftsvilla37,9999999999,test@crafts.com
test38,pass38,craftsvilla38,9999999999,test@crafts.com
test39,pass39,craftsvilla39,9999999999,test@crafts.com
